Majors,Terms in Attendance
Electrical Eng & Comp Sci BS,8.0
Data Science BA (Subplan: Robotics),6.0
Electrical Eng & Comp Sci MEng,G
Letters & Sci Undeclared UG,4.0
"Molecular & Cell Biology BA (Subplan: Biochem, Biophys & Struc Bio 1), Business Administration BS (Subplan: LSBE)",6.0
Civil Engineering BS,8.0
Computer Science BA,4.0
Political Economy BA,6.0
Letters & Sci Undeclared UG,8.0
Art BA,4.0
Chemical Biology BS,6.0
Letters & Sci Undeclared UG,4.0
Chemical Engineering PhD,G
Computer Science BA,4.0
Computer Science BA,4.0
Environmental Sciences BS,2.0
Letters & Sci Undeclared UG,4.0
Letters & Sci Undeclared UG,2.0
Letters & Sci Undeclared UG,6.0
Cognitive Science BA,4.0
"Psychology BA, Minor: Data Science UG",8.0
Economics BA,6.0
Computer Science BA,4.0
"Business Administration BS, Minor: Data Science UG",8.0
"Environ Econ & Policy BS, Minor: Public Policy UG",4.0
Molecular & Cell Biology BA (Subplan: Immunology & Mol Medicine 2),6.0
Letters & Sci Undeclared UG,6.0
"Applied Mathematics BA (Subplan: Data Science), Statistics BA",4.0
Nutritional Science BS,4.0
Applied Mathematics BA (Subplan: Data Science),4.0
Computer Science BA,4.0
Data Science BA (Subplan: Business/Industrial Analytics),4.0
Cognitive Science BA,6.0
Letters & Sci Undeclared UG,4.0
Microbial Biology BS,6.0
Computer Science BA,8.0
"Economics BA, Minor: Public Policy UG",6.0
Data Science BA (Subplan: Cognition),6.0
Computer Science BA,4.0
Letters & Sci Undeclared UG,7.0
Data Science BA (Subplan: Urban Science),4.0
Computer Science BA,4.0
"Economics BA, Minor: Data Science UG",6.0
Letters & Sci Undeclared UG,8.0
Electrical Eng & Comp Sci BS,4.0
Letters & Sci Undeclared UG,4.0
Letters & Sci Undeclared UG,4.0
Letters & Sci Undeclared UG,4.0
Letters & Sci Undeclared UG,4.0
Data Science BA (Subplan: Applied Mathematics & Modeling),5.0
Data Science BA (Subplan: Geospatial Info & Technology),6.0
Civil Engineering BS,6.0
Letters & Sci Undeclared UG,8.0
Letters & Sci Undeclared UG,4.0
Economics BA,6.0
Letters & Sci Undeclared UG,5.0
Genetics & Plant Biology BS,8.0
Industrial Eng & Ops Rsch BS,4.0
